assay,training_fraction,train_r2,validation_r2
DPPH,0.10,0.910,0.450
DPPH,0.25,0.900,0.580
DPPH,0.40,0.895,0.670
DPPH,0.55,0.890,0.740
DPPH,0.70,0.885,0.790
DPPH,0.85,0.880,0.820
DPPH,0.90,0.875,0.831
ABTS,0.10,0.950,0.620
ABTS,0.25,0.945,0.720
ABTS,0.40,0.940,0.800
ABTS,0.55,0.935,0.850
ABTS,0.70,0.930,0.880
ABTS,0.85,0.925,0.900
ABTS,0.90,0.922,0.907
