assay,observed_r2,rand_mean,rand_sd,rand_min,rand_max,empirical_p,permutations
DPPH,0.846,-0.03,0.08,-0.31,0.19,<0.002,500
ABTS,0.920,-0.05,0.11,-0.42,0.24,<0.002,500
